M96: [2, 1, 2, 3, 3, 5, 2, 3, 4, 5]
M97: [2, 1, 2, 2, 4, 5, 1, 2, 2, 3]
M98: [2, 1, 2, 2, 4, 5, 1, 2, 3, 4]
M99: [2, 1, 2, 3, 4, 5, 1, 2, 2, 4]
M100: [2, 1, 2, 2, 4, 5, 2, 2, 4, 4]
M101: [2, 1, 2, 3, 4, 4, 1, 2, 3, 2]
M102: [2, 1, 2, 3, 4, 5, 2, 2, 3, 4]
M103: [2, 1, 3, 3, 3, 4, 1, 2, 3, 2]
M104: [3, 1, 3, 2, 3, 4, 1, 2, 3, 2]
M105: [3, 2, 2, 2, 3, 4, 1, 2, 3, 2]
M106: [2, 1, 2, 4, 4, 4, 1, 2, 3, 5]
M107: [2, 1, 3, 4, 3, 4, 1, 2, 4, 2]
M108: [3, 1, 3, 3, 3, 4, 1, 2, 4, 2]
M109: [3, 2, 2, 3, 3, 4, 1, 2, 4, 2]
M110: [2, 1, 4, 4, 2, 3, 1, 2, 3, 4]
M111: [3, 2, 3, 3, 2, 3, 1, 2, 2, 3]
M112: [3, 1, 4, 3, 2, 3, 1, 2, 3, 2]
M113: [3, 2, 3, 3, 2, 3, 1, 2, 3, 2]
M114: [3, 2, 3, 3, 3, 4, 1, 2, 5, 2]
M115: [4, 1, 4, 2, 2, 4, 1, 2, 3, 5]
M116: [4, 2, 3, 2, 2, 4, 1, 2, 4, 2]
M117: [4, 3, 2, 2, 2, 3, 1, 2, 3, 4]
M118: [3, 1, 2, 2, 3, 4, 3, 3, 3, 2]
M119: [3, 1, 2, 2, 3, 5, 3, 3, 3, 3]
M120: [3, 1, 3, 3, 2, 4, 3, 3, 3, 3]
M121: [2, 2, 2, 3, 2, 4, 3, 3, 3, 2]
M122: [3, 2, 3, 3, 3, 4, 3, 3, 3, 5]
M123: [2, 1, 2, 3, 4, 4, 3, 3, 1, 5]
M124: [2, 1, 3, 3, 4, 4, 2, 2, 1, 4]
M125: [3, 1, 3, 2, 3, 4, 3, 3, 1, 5]
M126: [2, 2, 3, 3, 3, 3, 2, 2, 1, 3]
M127: [2, 1, 2, 2, 4, 5, 3, 3, 3, 5]
M128: [3, 1, 2, 2, 4, 4, 2, 2, 2, 2]
M129: [3, 1, 2, 2, 4, 5, 2, 2, 3, 4]
M130: [3, 1, 3, 3, 3, 4, 2, 2, 2, 3]
M131: [2, 2, 2, 3, 3, 4, 2, 2, 2, 2]
M132: [3, 2, 3, 3, 4, 4, 2, 2, 2, 5]
M133: [2, 1, 2, 3, 4, 4, 3, 3, 4, 2]
M134: [2, 1, 3, 3, 3, 4, 3, 3, 4, 2]
M135: [3, 1, 3, 2, 3, 4, 3, 3, 4, 2]
M136: [3, 2, 2, 2, 3, 4, 3, 3, 4, 2]
M137: [2, 1, 2, 4, 3, 3, 2, 3, 1, 3]
M138: [2, 1, 3, 4, 2, 3, 2, 3, 1, 3]
M139: [2, 1, 3, 4, 3, 4, 2, 2, 1, 4]
M140: [3, 1, 3, 3, 2, 4, 3, 3, 1, 5]
M141: [3, 1, 3, 4, 3, 3, 2, 2, 1, 4]
M142: [2, 2, 2, 4, 3, 3, 2, 2, 1, 3]
M143: [2, 2, 3, 4, 2, 3, 2, 2, 1, 3]
M144: [3, 2, 2, 3, 3, 4, 2, 2, 1, 4]
M145: [3, 2, 3, 4, 2, 3, 2, 2, 2, 5]
M146: [3, 1, 3, 3, 2, 3, 3, 3, 3, 2]
M147: [3, 2, 2, 3, 2, 3, 3, 3, 3, 2]
M148: [2, 1, 2, 4, 4, 4, 2, 3, 3, 5]
M149: [3, 1, 3, 4, 3, 3, 2, 2, 2, 3]
M150: [2, 2, 2, 4, 3, 3, 2, 2, 2, 2]
M151: [3, 2, 3, 4, 4, 3, 2, 2, 3, 6]
M152: [2, 1, 3, 4, 3, 4, 2, 3, 4, 2]
M153: [3, 1, 3, 3, 3, 4, 2, 3, 4, 2]
